N°	Maintenance Type	Printer	Line	PM to be done at JT	MACHINE TIME	JET TIME	PM Ecart JT	Effective PM date	Next PM	Next Jet Time	NEXT DATE	mois prevu	Année prévue	
2969	1200h	N3A13417	Line206	32123	37484	32138	15	7/8/15		"33,338"				
2968	2400h	N3A13528	Line43	17310	35360	17320	10	7/8/15		"18,520"				
2967	9600h	N3A13428	Line89	27180	42649	27298	118	7/8/15	9600h	"36,898"				
2966	4800h	N3A13428	Line89	27180	42649	27298	118	7/8/15		"32,098"				
2965	2400h	N3A13428	Line89	27298	42649	27298	0	7/8/15		"28,498"				
2964	1200h	N3A13723	Line85	10720	11517	10670	-50	7/9/15		"11,870"				
2963	1200h	N3A13721	Line44	31184	36515	31184	0	6/12/15		"32,384"				
2962	4800h	N3A13246	Line116	18144	22535	18121	-23	7/10/15		22968				
2961	2400h	N3A13246	Line116	18109	22535	18121	12	7/10/15		"19,321"				
2960	9600h	N3A13549	Line78	32017	37288	32122	105	7/8/15	9600h	"41,722"				
2959	4800h	N3A13549	Line78	31796	37288	32122	105	7/8/15	4800h	"36,922"				
2958	2400h	N3A13549	Line78	32017	37288	32122	105	7/8/15		"33,322"				
2957	4800h	N3A13270	Line22	4883	15828	4936	53	7/10/15		"9,736"				
2956	2400h	N3A13270	Line22	4883	15828	4936	53	7/10/15		"6,136"				
2955	4800h	N3A13321	Line20	34144	38833	34192	48	7/14/15		38992				
2954	2400h	N3A13321	Line20	34232	38833	34192	-40	7/14/15		35392				
2953	2400h	N3A13289	Line2	16268	19099	16309	41	7/15/15		17509				
2952	1200h	N3A13421	Line193	36906	38639	36970	64	7/15/15		38170				
2951	1200h	N3A13560	Line57	18473	21495	18539	66	7/16/15		19739				
2950	1200h	N3A13422	Line12	27487	34469	27560	73	7/16/15		28760				
2949	1200h	N3A13332	Line87	22906	38232	22887	-19	7/16/15	2400h	24087	9/4/15	7	2015	
2948	1200h	N3A13298	Line15	37593	42004	37697	104	7/20/15		38897				
2947	1200h	N3A13310	Line9	40309	42424	40405	96	7/20/15		41605				
2946	1200h	N3A13558	Line119	32489	35994	32324	-165	6/28/15		33524				
2945	9600h	N3A13429	Line70	36845	43158	37042	197	6/19/15		46642				
2944	4800h	N3A13429	Line70	36845	43158	37042	197	6/19/15		42000				
2943	2400h	N3A13429	Line70	36979	43158	37042	63	6/19/15		38242				
2942	1200h	N3A13249	Line10	33975	38326	34041	66	7/11/15		35241				
2941	1200h	N3A13720	Line67	40012	42534	40147	135	7/12/15		41347				
2940	1200h	N3A13427	Line23	37000	42258	36972	-28	7/11/15		38172				
2939	2400h	N3A13247	Line69	31091	41800	31100	9	7/13/15		32300				
2938	1200h	N3A13488	Line58	36092	40768	36148	56	11/06/2015		37348				
2937	1200h	N3A13320	Line193	26185	34962	26275	90	6/30/15		27475				
2936	1200h	N3A13559	Line8	31630	36216	31768	138	7/1/15		32968				
2935	9600h	AS0000090359	Line193	20865	24524	21063	198	6/21/15	9600h	30663				
2934	2400h	AS0000090359	Line193	20865	24524	21063	198	6/21/15		22263				
2933	2400h	N3A13267	Line193	28615	33125	28508	-107	6/16/15		29708				
2932	1200h	N3A13426	Line52	23608	25606	23448	-160	6/8/15		24648				
2931	1200h	N3A13238	Line17	28279	33093	28415	136	6/16/15		29615				
2930	4800h	N3A13208	Line18	13674	17392	13676	2	6/8/15		18650				
2929	2400h	N3A13208	Line18	13674	17392	13676	2	6/8/15		14876				
2928	9600h	N3A13495	Line204	19636	20491	19816	180	6/17/15	9600h	29416				
2927	4800h	N3A13495	Line204	19636	20491	19816	180	6/17/15		24616				
2926	2400h	N3A13495	Line204	19636	20491	19816	180	6/17/15		21016				
2925	1200h	N3A13827	Line193	10862	11227	10844	-18	6/23/15		12044				
2924	1200h	N3A13489	Line56	27861	38663	27895	34	6/24/15		29095				
2923	1200h	N3A13254	Line37	36284	42734	36294	10	6/24/15		37494				
2922	2400h	N3A13313	Line76	40410	43029	40339	-71	6/25/15		41539				
2921	4800h	N3A13716	Line193	25151	36454	25194	43	6/25/15		30230				
2920	2400h	N3A13716	Line193	25151	36454	25194	43	6/25/15		26394				
2919	9600h	N3A13424	Line193	32360	39177	32285	-75	6/29/15	9600h	41885				
2918	2400h	N3A13424	Line193	32255	39177	32285	30	6/29/15		33485				
2917	1200h	N3A13487	Line1	32205	35216	32230	25	6/29/15		33430				
2916	2400h	N3A13268	Line205	27326	38024	27339	13	6/20/15		28539				
2915	9600h	N3A13268	Line205	27326	38165	27478	152	6/29/15	9600h	37078				
2914	9600h	N3A13289	Line2	15824	18613	15824	0	6/30/15	9600h	25424				
2913	9600h	N3A13293	Line4	33570	38149	33646	76	6/29/15		43246				
2912	4800h	N3A13293	Line4	33570	38149	33646	76	6/29/15		38750				
2911	2400h	N3A13293	Line4	33570	38149	33646	76	6/29/15		34846				
2910	2400h	N3A13218	Line193	22586	25910	22591	5	6/2/15		23791				
2909	9600h	N3A13550	Line203	36786	39659	36743	-43	6/29/15		46343				
2908	4800h	N3A13550	Line203	36786	39659	36743	-43	6/29/15		41720				
2907	2400h	N3A13550	Line203	36789	39659	36743	-46	6/29/15		37943				
2906	2400h	N3A13217	Line193	10361	14730	10550	189	6/20/15		11750				
2905	1200h	N3A13263	Line107	34698	37132	34614	-84	6/23/15		35814				
2904	1200h	N3A13497	Line16	30255	37027	30279	24	6/20/15		31479				
2903	4800h	N3A13490	Line73	36330	39564	36359	29	6/17/15		41159				
2902	2400h	N3A13490	Line73	36330	39564	36359	29	6/17/15		37559				
2901	2400h	N3A13561	Line193	27577	29381	27557	-20	6/19/15		28757				
2900	9600h	N3A13265	Line193	30682	35310	30652	-30	6/18/15	9600h	40252				
2899	4800h	N3A13265	Line193	30682	35310	30652	-30	6/18/15		35452				
2898	2400h	N3A13265	Line193	30682	35310	30652	-30	6/18/15		31852				
2897	1200h	N3A13210	Line202	6536	6745	6425	-111	6/20/15	2400h	7625	8/9/15	8	2015	
2896	2400h	N3A13250	Line92	24332	34130	24381	49	6/21/15		25581				
2895	9600h	N3A13564	Line193	19675	23007	19700	25	6/20/15		29300				
2894	4800h	N3A13564	Line193	19675	23007	19700	25	6/20/15		24500				
2893	2400h	N3A13564	Line193	19675	23007	19700	25	6/20/15		20900				
2892	9600h	AS0000090362	Line30	27134	28777	27151	17	6/19/15		36300				
2891	4800h	AS0000090362	Line30	27134	28777	27151	17	6/19/15		31951				
2890	2400h	AS0000090362	Line30	27134	28777	27151	17	6/19/15		28351				
2889	4800h	N3A13819	Line75	31740	35766	31805	65	6/20/15		36605				
2888	2400h	N3A13819	Line75	31740	35766	31805	65	6/20/15		33005				
2887	2400h	N3A13557	Line132	16626	21044	16630	4	6/22/15		17830				
2886	1200h	N3A13722	Line11	31402	33536	31414	12	6/4/15		32614				
2885	9600h	N3A13261	Line88	23166	26141	23214	48	6/3/15		32814				
2884	2400h	N3A13261	Line88	23166	26141	23214	48	6/3/15		24414				
2883	9600h	N3A13491	Line112	38362	39424	38434	72	6/4/15		48234				
2882	2400h	N3A13491	Line112	38362	39424	38434	72	6/4/15		39634				
2881	4800h	N3A13496	Line81	"15,050"	15399	15181	131	6/4/15		20013				
2880	1200h	N3A13496	Line81	"15,201"	15399	15181	-20	6/4/15		16381				
2879	1200h	N3A13499	Line193	"6,178"	7554	6343	165	6/4/15		7543				
2878	2400h	N3A13524	Line99	"30,088"	36918	30038	-50	6/5/15		31238				
2877	1200h	N3A13248	Line38	"36,876"	42597	36939	63	6/5/15		38139				
2876	4800h	N3A13273	Line64	"35,977"	41246	36103	126	6/5/15		41002				
2875	2400h	N3A13273	Line64	"36,047"	41246	36103	56	6/5/15		37303				
2874	1200h	AS00000090360	Line114	"11,131"	13202	11160	29	6/6/15		12360				
2873	1200h	N3A13826	Line6	"10,840"	11103	10839	-1	6/6/15		12039				
2872	1200h	N3A13565	Line98	"33,254"	39026	33367	113	6/7/15		34567				
2871	9600h	N3A13299	Line103	"26,190"	28685	26236	46	6/7/15		36219				
2870	4800h	N3A13299	Line103	"26,190"	28685	26236	46	6/7/15		31246				
2869	2400h	N3A13299	Line103	"26,190"	28685	26236	46	6/7/15		27436				
2868	1200h	N3A13251	Line193	"31,792"	36509	31850	58	6/8/15		33050				
2867	1200h	N3A13296	Line113	"37,629"	41852	37669	40	6/8/15		38869				
2866	1200h	N3A13717	Line105	"24,086"	26617	24095	9	6/9/15		25295				
2865	1200h	N3A13718	Line193	"10,630"	13341	10586	-44	6/9/15		11786				
2864	4800h	N3A13420	Line193	"27,121"	30526	27308	187	6/10/15		32108				
2863	2400h	N3A13420	Line193	27121	"30,526"	27308	187	6/10/15		28508				
2862	1200h	N3A13318	Line33	39771	"42,892"	39858	87	6/12/15		41058				
2861	1200h	N3A13823	Line63	19500	"22,067"	19500	0	6/12/15		20700				
2860	2400h	N3A13259	Line50	33459	"39,552"	33463	4	6/13/15		34663				
2859	1200h	N3A13207	Line80	34851	"37,037"	34951	100	6/15/15		36151				
2858	1200h	N3A13262	Line65	33370	"39,639"	33441	71	6/10/15		34641				
2857	1200h	N3A13418	Line89	21791	"35,258"	21852	61	5/29/15		23052				
2856	2400h	N3A13427	Line23	35750	"41,000"	35800	50	5/20/15		37000				
2855	2400h	N3A13725	Line61	24690	"35,680"	24710	20	5/25/15		25910				
2854	1200h	N3A13313	Line76	39083	"41,896"	39210	127	5/3/15		40410				
2853	9600h	N3A13313	Line76	39083	41896	"39,210"	127	5/3/15		49080				
2852	4800h	N3A13313	Line76	39083	41896	"39,210"	127	5/3/15		44010				
2850	9600h	N3A13720	Line67	38850	41196	"38,812"	-38	5/17/15		48412				
2849	4800h	N3A13332	Line87	21642	36983	"21,706"	64	5/19/15	4800h	26506				
2848	2400h	N3A13332	Line87	21642	36983	"21,706"	64	5/19/15		22906				
2847	1200h	N3A13511	Line193	21594	37387	"21,683"	89	5/20/15		22883				
2846	4800h	N3A13422	Line12	26264	33194	"26,287"	23	5/24/15		31339				
2845	2400h	N3A13422	Line12	26264	33194	"26,287"	23	5/24/15		27487				
2844	1200h	N3A13315	Line193	24289	27820	"24,174"	-115	5/24/15		25374				
2843	1200h	N3A13260	Line194	34454	39171	"34,300"	-154	5/24/15		35500				
2842	9600h	N3A13427	Line23	35298	40545	"35,300"	2	5/5/15		45545				
2841	2400h	N3A13553	Line31	26382	30563	"26,469"	87	5/29/15		27669				
2840	1200h	N3A13253	Line29	35566	42129	"35,775"	209	5/30/15		36975				
2839	2400h	N3A13555	Line49	26513	27763	"26,531"	18	5/28/15		27731				
2838	2400h	N3A13525	Line51	14568	17885	"14,669"	101	5/28/15		15869				
2837	2400h	N3A13314	Line193	32650	37874	"32,650"	0	5/28/15		33850				
2836	1200h	N3A13289	Line2	14988	17840	"15,068"	80	5/25/15		16268				
2835	9600h	N3A13310	Line9	39069	41124	"39,109"	40	5/25/15	9600h	48709				
2834	4800h	N3A13310	Line9	39069	41124	"39,109"	40	5/25/15		44151				
2833	2400h	N3A13310	Line9	39069	41124	"39,109"	40	5/25/15		40309				
2832	2400h	N3A13825	Line21	25744	29781	"25,729"	-15	5/25/15		26929				
2831	9600h	N3A13298	Line15	36355	40697	"36,393"	38	5/25/15		46444				
2830	4800h	N3A13298	Line15	36355	40697	"36,393"	38	5/25/15		41526				
2829	2400h	N3A13298	Line15	36355	40697	"36,393"	38	5/25/15		37593				
2828	9600h	N3A13723	Line85	9503	10232	"9,520"	17	5/15/15		19211				
2827	2400h	N3A13723	Line85	9503	10232	"9,520"	17	5/15/15		10720				
2826	4800h	N3A13723	Line85	9503	10291	"9,579"	76	5/18/15		14379				
2825	9600h	N3A13249	Line10	32713	37050	"32,775"	62	5/19/15		42375				
2824	4800h	N3A13249	Line10	32713	37050	"32,775"	62	5/19/15		37852				
2823	2400h	N3A13249	Line10	32713	37050	"32,775"	62	5/19/15		33975				
2822	9600h	N3A13527	Line193	19332	29671	"19,299"	-33	5/15/15	9600h	28899				
2821	4800h	N3A13527	Line193	19332	29671	"19,299"	-33	5/15/15		24099				
2820	2400h	N3A13527	Line193	19332	29671	"19,299"	-33	5/15/15		20499				
2818	1200h	N3A13246	Line116	16915	21283	"16,909"	-6	5/18/15		18109				
2681	2400h	N3A13246	Line116	15743	19993	"15,715"	-28	3/24/15		"16,915"				
2817	2400h	N3A13554	Line71	33189	34804	"33,026"	-163	5/17/15		34226				
2816	2400h	N3A13720	Line67	38850	41196	"38,812"	-38	5/17/15		40012				
2815	1200h	N3A13549	Line44	30792	35982	"30,817"	25	5/15/15		32017				
2814	2400h	N3A13421	Line193	35637	41706	"35,706"	69	5/15/15		36906				
2813	1200h	N3A13716	Line193	23870	35173	"23,951"	81	5/7/15		25151				
2812	2400h	N3A13263	Line107	33436	36013	"33,498"	62	5/7/15		34698				
2811	2400h	N3A13254	Line37	35049	41515	"35,084"	35	 06/05/2015 		36284				
2810	4800h	N3A13559	Line8	30425	34867	"30,430"	5	5/4/15		35415				
2809	2400h	N3A13559	Line8	30425	34867	"30,430"	5	5/4/15		31630				
2808	9600h	N3A13250	Line92	23073	32953	"23,132"	59	5/4/15		33094				
2807	4800h	N3A13250	Line92	23073	32953	"23,132"	59	5/4/15		27932				
2806	1200h	N3A13250	Line92	23073	32953	"23,132"	59	5/4/15		24332				
2805	1200h	N3A13316	Line77	13435	14397	"13,238"	-197	5/5/15		14438				
2804	9600h	N3A13827	Line193	9617	10031	"9,662"	45	5/4/15	9600h	19262				
2803	4800h	N3A13827	Line193	9617	10031	"9,662"	45	5/4/15		14462				
2802	2400h	N3A13827	Line193	9617	10031	"9,662"	45	5/4/15		10862				
2801	2400h	N3A13489	Line56	26568	37426	"26,661"	127	5/3/15		27861				
2800	4800h	N3A13489	Line56	26534	37426	"26,661"	127	5/3/15		31461				
2799	1200h	N3A13719	Line94	30826	33394	"30,811"	-15	5/13/15		32011				
2797	1200h	N3A13428	Line87	26024	41243	"26,098"	74	5/11/15		27298				
2796	2400h	N3A13558	Line119	31185	34916	"31,289"	104	5/14/15		32489				
2795	2400h	N3A13417	Line206	30847	36264	"30,923"	76	5/8/15		32123				
2794	4800h	N3A13417	Line206	30847	36264	"30,923"	76	5/8/15		35723				
2793	4800h	N3A13210	Line202	5354	5636	"5,336"	-18	5/5/15	4800h	10136				
2792	2400h	N3A13210	Line202	5354	5636	"5,336"	-18	5/5/15		6536				
2791	1200h	N3A13556	Line194	23526	26850	"23,643"	117	5/10/15		24843				
2790	1200h	N3A13293	Line4	32299	36870	"32,370"	71	5/11/15		33570				
2789	1200h	N3A13300	Line97	30042	32491	"30,104"	62	5/12/15		31304				
2788	1200h	N3A13319	Line68	26475	27598	"26,527"	52	5/12/15		27727				
2787	2400h	N3A13320	Line193	24981	33667	"24,985"	4	5/6/15		26185				
2786	1200h	N3A13550	Line33	35604	38421	"35,589"	-15	5/8/15		36789				
2785	9600h	N3A13487	Line1	31042	33990	"31,005"	-37	5/9/15		40919				
2784	2400h	N3A13487	Line1	"31,042"	33990	"31,005"	-37	5/9/15		"32,205"				
2783	2400h	N3A13551	Line193	"25,461"	27538	"25,523"	62	5/10/15		"26,723"				
2782	4800h	N3A13552	Line28	"26,727"	34586	"26,726"	-1	5/10/15		"31,526"				
2781	2400h	N3A13552	Line28	"26,727"	34586	"26,726"	-1	5/10/15		"27,926"				
2780	1200h	N3A13261	Line88	"21,941"	24922	"21,966"	25	4/6/15		"23,166"				
2779	2400h	N3A13238	Line17	"27,061"	31634	"27,079"	18	4/17/15		"28,279"				
2778	4800h	N3A13497	Line16	"29,085"	35799	"29,055"	-30	4/30/15		"33,855"				
2777	2400h	N3A13497	Line16	"29,085"	35799	"29,055"	-30	4/30/15		"30,255"				
2776	1200h	N3A13528	Line43	"16,093"	33855	"16,110"	17	4/30/15		"17,310"				
2775	2400h	N3A13209	Line96	"22,710"	33950	"21,720"	-990	4/17/15		"22,920"				
2774	1200h	N3A13265	Line193	"29,511"	34124	"29,482"	-29	4/29/15		"30,682"				
2773	1200h	N3A13561	Line193	"26,321"	28169	"26,377"	56	4/29/15		"27,577"				
2772	1200h	N3A13819	Line75	"30,380"	34497	"30,540"	160	4/28/15		"31,740"				
2771	1200h	AS0000090362	Line30	"25,820"	27530	"25,934"	114	4/28/15		"27,134"				
2770	1200h	N3A13547	Line193	"26,014"	29012	"26,074"	60	4/28/15		"27,274"				
2769	9600h	N3A13718	Line193	"9,360"	12132	"9,430"	70	4/21/15	9600h	"19,030"				
2768	2400h	N3A13718	Line193	"9,360"	12132	"9,430"	70	4/21/15		"10,630"				
2767	1200h	N3A13218	Line193	"21,295"	24724	"21,386"	91	4/10/15		"22,586"				
2766	4800h	N3A13218	Line193	"21,196"	24724	"21,386"	190	4/10/15		"26,186"				
2765	1200h	N3A13564	Line193	"18,438"	21771	"18,475"	37	4/28/15		"19,675"				
2764	1200h	N3A13557	Line132	"15,464"	19728	"15,426"	-38	4/28/15		"16,626"				
2763	9600h	N3A13254	Line37	"34,885"	41332	"34,903"	18	4/25/15		44880				
2762	4800h	N3A13254	Line37	34885	"41,332"	"34,903"	18	4/25/15		40045				
2761	1200h	N3A13429	Line70	35724	"41,888"	"35,779"	55	4/27/15		"36,979"				
2760	1200h	N3A13291	Line60	31735	"36,565"	"31,767"	32	4/18/15		"32,967"				
2759	1200h	N3A13321	Line20	33044	"37,516"	"33,032"	-12	4/18/15		"34,232"				
2758	1200h	N3A13724	Line193	22018	"30,366"	"21,897"	-121	4/18/15		"23,097"				
2757	9600h	N3A13826	Line6	9627	"9,903"	"9,640"	13	4/17/15		"19,240"				
2756	4800h	N3A13826	Line6	9627	"9,903"	"9,640"	13	4/17/15		"14,440"				
2755	2400h	N3A13826	Line6	9627	"9,903"	"9,640"	13	4/17/15		"10,840"				
2754	9600h	N3A13262	Line65	32178	"38,362"	"32,170"	-8	4/18/15		"41,770"				
2753	4800h	N3A13262	Line65	32178	"38,362"	"32,170"	-8	4/18/15		"36,970"				
2752	2400h	N3A13262	Line65	32178	"38,362"	"32,170"	-8	4/18/15		"33,370"				
2751	1200h	N3A13259	Line50	32210	"38,304"	"32,259"	49	4/22/15		"33,459"				
2750	2400h	N3A13823	Line63	18272	"20,869"	"18,300"	28	"42,117"		"19,500"				
2749	1200h	N3A13490	Line73	35101	"38,235"	"35,130"	29	"42,117"		"36,330"				
2748	4800h	N3A13490	Line73	0	36942	"33,901"	22	2/27/15		"36,330"				
2747	2400h	N3A13426	Line52	"22,422"	24663	"22,408"	-14	4/25/15		"23,608"				
2746	9600h	N3A13296	Line113	"36,378"	40612	"36,429"	51	4/18/15		46477				
2745	4800h	N3A13296	Line113	36478	"40,612"	"36,429"	-49	4/18/15		"41,229"				
2744	2400h	N3A13296	Line113	36378	"40,612"	"36,429"	51	4/18/15		"37,629"				
2743	2400h	N3A13717	Line105	22900	"25,383"	"22,886"	-14	4/18/15		"24,086"				
2742	4800h	N3A13717	Line105	22900	"25,383"	"22,886"	-14	4/18/15		27758				
2741	2400h	N3A13318	Line33	38481	"41,599"	"38,571"	90	4/19/15		"39,771"				
2740	1200h	N3A13208	Line18	12387	"16,186"	"12,474"	87	4/19/15		"13,674"				
2739	9600h	N3A13488	Line58	34930	"39,511"	"34,892"	-38	 19/04/2015 		45145				
2738	4800h	N3A13488	Line58	34930	39511	"34,892"	-38	 19/04/2015 		39938				
2737	2400h	N3A13488	Line58	35048	39511	"34,892"	-156	4/19/15		"36,092"				
2736	1200h	AS0000090359	Line193	19793	23083	"19,665"	-128	4/20/15		20865				
2735	1200h	N3A13424	Line193	31208	37855	"31,055"	-153	4/21/15		32255				
2734	4800h	N3A13207	Line80	33652	35724	"33,651"	-1	4/21/15		38659				
2733	2400h	N3A13207	Line80	33652	35724	"33,651"	-1	4/21/15		34851				
2732	9600h	N3A13721	Line44	29870	35304	"29,984"	114	4/19/15		39584				
2731	4800h	N3A13721	Line44	29870	35304	"29,984"	114	4/19/15		34784				
2730	2400h	N3A13721	Line44	29870	35304	"29,984"	114	4/19/15		"31,184"				
2729	1200h	N3A13268	Line205	26097	36794	"26,126"	29	4/16/15		"27,326"				
2728	9600h	AS00000090360	Line114	9968	11971	"9,931"	-37	4/15/15		"19,531"				
2727	4800h	AS00000090360	Line114	9968	11971	"9,931"	-37	4/15/15		"14,731"				
2726	2400h	AS00000090360	Line114	9968	11971	"9,931"	-37	4/15/15		"11,131"				
2725	1200h	N3A13299	Line103	24900	27439	"24,990"	90	4/15/15		"26,190"				
2724	1200h	N3A13524	Line49	28883	35692	"28,888"	5	4/15/15		"30,088"				
2723	4800h	N3A13499	Line193	4989	6187	"4,978"	-11	4/8/15		10073				
2722	2400h	N3A13499	Line193	4989	6187	"4,978"	-11	4/8/15		"6,178"				
2721	1200h	N3A13555	Line49	25254	26523	"25,313"	59	4/8/15		"26,513"				
2720	9600h	N3A13722	Line11	30185	31852	"30,202"	17	4/11/15		40178				
2719	2400h	N3A13722	Line11	"30,185"	31852	"30,202"	17	4/11/15		"31,402"				
2718	4800h	N3A13722	Line11	"30,185"	"31,852"	"30,202"	17	4/11/15		"35,002"				
2717	1200h	N3A13273	Line64	"34,786"	"39,990"	"34,847"	61	4/13/15		36047				
2716	2400h	N3A13496	Line81	"13,955"	"14,194"	"14,001"	46	4/14/15		15201				
2715	2400h	N3A13565	Line98	"32,020"	"37,709"	"32,054"	34	4/13/15		33254				
2714	9600h	N3A13248	Line38	"35,752"	"41,295"	"35,676"	-76	4/12/15		45632				
2713	4800h	N3A13248	Line38	"35,752"	"41,295"	"35,676"	-76	4/12/15		40476				
2712	2400h	N3A13248	Line38	"35,752"	"41,295"	"35,676"	-76	4/12/15		36876				
2711	4800h	N3A13251	Line193	"30,519"	"35,178"	"30,592"	73	4/13/15		35392				
2710	2400h	N3A13251	Line193	30519	"35,178"	"30,592"	73	4/13/15		31792				
2709	1200h	N3A13553	Line31	25258	"29,372"	"25,182"	-76	4/9/15		26382				
2708	1200h	N3A13314	Line193	31472	"36,032"	"31,450"	-22	4/2/15		32650				
2707	1200h	N3A13495	Line204	18400	"19,102"	"18,436"	36	4/3/15		19636				
2706	1200h	N3A13422	Line12	25141	"31,971"	"25,064"	-77	4/3/15		26264				
2705	2400h	N3A13315	Line193	23044	"26,647"	"23,089"	45	4/4/15		24289				
2704	1200h	N3A13554	Line71	31928	"33,763"	"31,989"	61	3/29/15		33189				
2703	1200h	N3A13491	Line112	37100	"39,802"	"37,162"	62	4/5/15		38362				
2702	1200h	N3A13310	Line9	37884	"39,882"	"37,869"	-15	4/3/15		39069				
2701	1200h	N3A13825	Line21	24513	"28,544"	"24,544"	31	4/3/15		25744				
2700	1200h	N3A13298	Line15	35180	"39,456"	"35,155"	-25	4/3/15		36355				
2699	2400h	N3A13260	Line19	33138	"37,998"	"33,254"	116	4/5/15		34454				
2698	2400h	N3A13253	Line29	34236	"40,620"	"34,366"	130	3/27/15		35566				
2697	1200h	N3A13525	Line51	13243	"16,473"	"13,368"	125	3/27/15		14568				
2696	1200h	N3A13427	Line23	34476	"39,733"	"34,550"	74	3/26/15		35750				
2695	1200h	N3A13247	Line69	29896	"39,875"	"29,891"	-5	3/27/15		31091				
2694	1200h	N3A13551	Line193	24213	"26,212"	"24,261"	48	3/16/15		25461				
2693	4800h	N3A13551	Line193	24213	26212	"24,261"	48	3/16/15		29380				
2692	9600h	N3A13551	Line193	24213	26212	"24,261"	48	3/16/15		"33,861"				
2691	1200h	N3A13527	Line193	18079	28476	"18,132"	53	3/26/15		"19,332"				
2690	1200h	N3A13421	Line193	34431	40401	"34,437"	6	3/21/15		"35,637"				
2689	1200h	N3A13720	Line67	37581	40020	"37,650"	69	3/29/15		"38,850"				
2688	1200h	N3A13552	Line28	25598	33361	"25,527"	-71	3/20/15		"26,727"				
2687	2400h	N3A13549	Line78	29513	34740	"29,592"	79	3/24/15		"30,792"				
2686	1200h	N3A13725	Line61	23485	33520	"23,490"	5	3/25/15		"24,690"				
2685	4800h	N3A13719	Line94	29559	32206	"29,626"	67	3/24/15		34605				
2684	2400h	N3A13719	Line94	29559	32206	"29,626"	67	3/24/15		"30,826"				
2683	9600h	N3A13719	Line94	29559	32206	"29,626"	67	3/24/15		39440				
2682	1200h	N3A13249	Line10	31475	35758	"31,513"	38	3/24/15		"32,713"				
2564	1200h	N3A13246	Line116	14544	"18,769"	"14,543"	-1	1/31/15		"15,743"				
2680	2400h	N3A13319	Line68	25313	26345	"25,275"	-38	3/21/15		"26,475"				
2679	4800h	N3A13319	Line68	"25,313"	26345	"25,275"	-38	3/21/15		30115				
2678	1200h	N3A13487	Line1	"29,835"	32821	"29,842"	7	3/21/15		"31,042"				
2677	2400h	N3A13300	Line97	"28,810"	31223	"28,842"	32	3/22/15		"30,042"				
2676	4800h	N3A13300	Line97	"28,810"	"31,223"	"28,842"	32	3/22/15		33761				
2675	9600h	N3A13300	Line97	"28,810"	"31,223"	"28,842"	32	3/22/15		38750				
2674	1200h	N3A13723	Line85	"8,294"	"8,934"	"8,303"	9	3/21/15		"9,503"				
2673	1200h	N3A13559	Line8	"29,223"	"33,543"	"29,225"	2	3/7/15		"30,425"				
2672	1200h	N3A13320	Line193	"23,728"	"32,412"	"23,781"	53	3/13/15		"24,981"				
2671	1200h	N3A13210	Line202	"4,180"	"4,449"	"4,154"	-26	3/16/15		"5,354"				
2670	1200h	N3A13558	Line119	"30,062"	"33,575"	"29,985"	-77	3/17/15		"31,185"				
2669	2400h	N3A13428	Line87	"24,810"	"39,978"	"24,824"	14	3/17/15		"26,024"				
2668	2400h	N3A13550	Line203	"34,414"	"37,199"	"34,404"	-10	3/17/15		"35,604"				
2667	1200h	N3A13497	Line16	"27,836"	"34,607"	"27,885"	49	3/10/15		"29,085"				
2666	2400h	N3A13265	Line193	"28,235"	"32,936"	"28,311"	76	3/10/15		"29,511"				
2665	2400h	N3A13716	Line193	"22,658"	"33,954"	"22,670"	12	3/12/15		"23,870"				
2664	4800h	N3A13289	Line193	"13,654"	"16,454"	"13,788"	134	3/14/15	4800h	"21,254"				
2663	2400h	N3A13289	Line193	"13,654"	"16,454"	"13,788"	134	3/14/15		"14,988"				
2662	1200h	N3A13263	Line107	"32,536"	"34,749"	"32,236"	-300	3/15/15		"33,436"				
2661	2400h	N3A13293	Line4	"31,103"	"35,594"	"31,099"	-4	3/15/15		"32,299"				
2660	2400h	N3A13313	Line76	"37,905"	"40,517"	"37,883"	-22	3/11/15		"39,083"				
2659	1200h	N3A13254	Line37	"33,829"	"40,228"	"33,849"	20	3/11/15		"35,049"				
2658	2400h	N3A13316	Line77	"12,177"	"13,157"	"12,235"	58	3/12/15		"13,435"				
2657	1200h	N3A13489	Line56	"25,248"	"36,122"	"25,368"	120	3/10/15		"26,568"				
2656	4800h	N3A13561	Line193	"25,120"	"26,911"	"25,121"	1	3/7/15		"29,921"				
2655	2400h	N3A13561	Line193	"25,120"	"26,911"	"25,121"	1	3/7/15		"26,321"				
2654	2400h	N3A13557	Line132	"14,224"	"18,515"	"14,264"	40	3/8/15		"15,464"				
2653	2400h	N3A13250	Line92	"21,931"	"31,614"	"21,873"	-58	3/8/15		"23,073"				
2652	2400h	N3A13556	Line13	"22,394"	"25,331"	"22,326"	-68	3/8/15		"23,526"				
2651	4800h	N3A13511	Line193	"20,371"	"35,648"	"20,395"	24	3/6/15		"25,195"				
2650	2400h	N3A13511	Line193	"20,371"	"35,647"	"20,394"	23	3/6/15		"21,594"				
2649	1200h	N3A13488	Line58	"33,789"	"38,464"	"33,848"	59	3/6/15		"35,048"				
2648	4800h	AS0000090363	Line2	"1,517"	"1,843"	"1,547"	30	3/6/15		"6,347"				
2647	1200h	N3A13426	Line52	"21,221"	"23,368"	"21,222"	1	3/6/15		"22,422"				
2646	9600h	AS0000090363	Line2	"1,517"	"1,843"	"1,547"	30	3/5/15		"11,147"				
